No,Name,NickName,GENDER,ELEMENT,POSITION,ROLE,AGE_GROUP,SCHOOL_YEAR,TEAM,OBTAIN,IE1,IE2,IE3,GO1,GO2,GO3,ARS,ORI,VIC,KICK,CONTROL,TECHNIQUE,PRESSURE,PHYSICAL,AGILITY,INTELLIGENCE,SHOT,FOCUS(AT),FOCUS(DF),SCRAMBLE(AT),SCRAMBLE(DF),SHOT_BLOCK,KEEPER_POWER
1,円堂 守,円堂,男,山,GK,選手,中学生,二年生,雷門中/イナズマジャパン,サッカーへの情熱は誰にも負けない。どんな時でも諦めない　強い心を持つ。,○,○,○,○,○,○,×,×,○,90,97,91,98,105,111,97,187,194,188,202,195,203,955
2,豪炎寺 修也,豪炎寺,男,火,FW,選手,中学生,二年生,雷門中/イナズマジャパン,クールだが　胸の奥に秘めたサッカーへの思いは炎のようにアツい。,○,○,○,○,○,○,×,×,○,121,115,105,88,85,85,93,236,208,198,178,181,173,771
5,壁山 塀吾郎,壁山,男,山,DF,選手,中学生,一年生,雷門中/イナズマジャパン,その大きな体を使ってのディフェンスはまさに壁のごとし。,○,○,○,○,○,○,×,×,○,90,94,95,102,105,91,114,184,208,209,219,216,207,883
6,風丸 一郎太,風丸,男,風,DF,選手,中学生,二年生,雷門中/イナズマジャパン,俊足を活かし敵を翻弄する。フィールドを疾風のごとく駆け抜ける。,○,○,○,○,○,○,×,×,○,90,94,95,102,105,91,114,184,208,209,219,216,207,883
7,染岡 竜吾,染岡,男,林,FW,選手,中学生,二年生,雷門中/イナズマジャパン,仲間思いの熱血男。コワモテだが　陰では努力を欠かさない。,○,○,○,○,○,○,×,×,○,117,112,102,84,82,81,90,229,202,192,172,174,166,738
8,栗松 鉄平,栗松,男,火,DF,選手,中学生,一年生,雷門中/イナズマジャパン,雷門中の　おちゃめなムードメーカー。ガッツなら　どんな選手にだって負けない。,○,○,○,○,○,○,×,×,○,86,90,91,98,102,88,110,176,200,201,212,208,200,854
9,半田 真一,半田,男,風,MF,選手,中学生,二年生,雷門中,何をやっても中途半端。よく言えばバランス型。,○,○,○,○,○,○,×,×,○,100,108,105,88,88,81,97,208,205,202,185,185,176,764
10,松野 空介,マックス,男,風,FW,選手,中学生,二年生,雷門中,スポーツセンス抜群で　どんな種目でも器用にこなす反面　ちょっと飽きっぽい。,○,○,○,○,○,○,×,×,○,117,112,102,84,82,81,90,229,202,192,172,174,166,738
11,少林寺 歩,しょうりん,男,林,MF,選手,中学生,一年生,雷門中,カンフーの身のこなしでピッチを飛び回る。石頭なため　彼の全力のヘディングには注意。,○,○,○,○,○,○,×,×,○,100,108,105,88,88,81,97,208,205,202,185,185,176,764
12,宍戸 佐吉,宍戸,男,火,MF,選手,中学生,一年生,雷門中,雷門中サッカー部のイジられキャラ。ファンキーな髪型だが　すこし気弱で臆病。,○,○,○,○,○,○,×,×,○,100,108,105,88,88,81,97,208,205,202,185,185,176,764
13,影野 仁,仁,男,林,DF,選手,中学生,二年生,雷門中,不気味なオーラを持つ　影の薄い少年。本人はもっと存在感が欲しいと思っている。,○,○,○,○,○,○,×,×,○,86,90,91,98,102,88,110,176,200,201,212,208,200,854
14,目金 欠流,メガネ,男,林,FW,選手,中学生,二年生,雷門中,自称メガネが似合う人気者。見栄っ張りだが　オタク知識は本物。,○,○,○,○,○,○,×,×,○,110,108,98,88,85,81,97,218,205,195,182,185,173,755
15,一之瀬 一哉,一之瀬,男,林,MF,選手,中学生,二年生,雷門中,かつては天才と呼ばれた万能プレイヤー。前線だけでなく守りにも気を配る。,○,○,○,○,○,○,×,×,○,100,108,105,88,88,81,97,208,205,202,185,185,176,764
16,土門 飛鳥,土門,男,林,DF,選手,中学生,二年生,雷門中/帝国学園,軽いノリだが　その心は熱く仲間を思う気持ちは人一倍。,○,○,○,○,○,○,×,×,○,86,90,91,98,102,88,110,176,200,201,212,208,200,854
17,木野 秋,木野,女,山,GK,マネージャー,中学生,二年生,雷門中,しっかり者で面倒見のいいお姉さんタイプ。円堂守と共に　サッカー部を再建した。,○,○,○,○,○,○,×,×,○,90,97,91,98,105,111,97,187,194,188,202,195,203,955
18,音無 春奈,音無,女,風,MF,マネージャー,中学生,一年生,雷門中,データ集めは　お手のもの！そのサッカーセンスは鬼道ゆずり。,○,○,○,○,○,○,×,×,○,104,112,109,91,92,85,100,216,212,209,192,191,183,798
19,雷門 夏未,夏未,女,火,FW,マネージャー,中学生,二年生,雷門中,美人だけど　気の強いお嬢様。総一郎いわく　実は泣き虫。,○,○,○,○,○,○,×,×,○,121,115,105,88,85,85,93,236,208,198,178,181,173,771
20,源田 幸次郎,げんおう,男,火,GK,選手,中学生,二年生,帝国学園/ネオジャパン,キング・オブ・ゴールキーパー。王の前に死角は無い。,○,○,○,○,○,○,×,×,○,90,97,91,98,105,111,97,187,194,188,202,195,203,955
21,大野 伝助,だいでん,男,山,DF,選手,中学生,二年生,帝国学園,中学生離れした巨体の荒くれ者。大地を揺るがすパワーを持つ。,○,○,○,×,×,×,×,×,○,83,86,88,95,99,85,107,169,193,195,206,202,194,827
22,万丈 一道,万丈,男,林,DF,選手,中学生,二年生,帝国学園,どんな相手にも　物怖じせず食らいつきあらゆる手段でボールを奪う　まさに狂犬。,○,○,○,×,×,×,×,×,○,79,83,81,98,102,85,114,162,197,195,216,212,200,842
