No,名前,略称,性別,属性,ポジション,Lv1 GP,Lv1 TP,Lv1 Kic,Lv1 Bod,Lv1 Con,Lv1 Gua,Lv1 Spe,Lv1 Sta,Lv1 Gut,Lv99 GP,Lv99 TP,Lv99 Kic,Lv99 Bod,Lv99 Con,Lv99 Gua,Lv99 Spe,Lv99 Sta,Lv99 Gut,GP Type,TP Type,Kic Type,Bod Type,Con Type,Gua Type,Spe Type,Sta Type,Gut Type,Fre,Total,技1,技種,威力,TP,属性,技2,技種,威力,TP,属性,技3,技種,威力,TP,属性,技4,技種,威力,TP,属性,検索用1,検索用2,検索用3,検索用4,検索用5,検索用6,検索用7,検索用8
1,円堂　守,えんどう,男,山,GK,37,41,13,16,15,17,8,16,20,191,184,72,72,70,77,68,69,79,5,1,5,2,5,2,5,5,5,35,542,ゴッドハンド（山）,CA,48,21,一致,マジン・ザ・ハンド（山）,CA,81,46,一致,せいぎのてっけん,P2,125,57,,ジ・アース,NS,136,70,一致,ゴッドハンド（山）マジン・ザ・ハンド（山）せいぎのてっけんジ・アース,ゴッドハンド（山）マジン・ザ・ハンド（山）せいぎのてっけんジ・アース,ゴッドハンド（山）マジン・ザ・ハンド（山）せいぎのてっけんジ・アース,ゴッドハンド（山）マジン・ザ・ハンド（山）せいぎのてっけんジ・アース,CACAP2NS,CACAP2NS,CACAP2NS,CACAP2NS
2,風丸　一郎太,かぜまる,男,風,DF,64,74,13,12,12,11,18,12,11,169,156,64,58,68,54,76,58,56,4,4,4,4,4,4,2,4,4,28,462,しっぷうダッシュ,DR,8,15,一致,ぶんしんフェイント,DR,76,36,,ぶんしんディフェンス,BL,73,36,,ほのおのかざみどり,LS,101,71,,しっぷうダッシュぶんしんフェイントぶんしんディフェンスほのおのかざみどり,しっぷうダッシュぶんしんフェイントぶんしんディフェンスほのおのかざみどり,しっぷうダッシュぶんしんフェイントぶんしんディフェンスほのおのかざみどり,しっぷうダッシュぶんしんフェイントぶんしんディフェンスほのおのかざみどり,DRDRBLLS,DRDRBLLS,DRDRBLLS,DRDRBLLS
3,壁山　塀吾郎,かべやま,男,山,DF,39,63,8,11,8,16,9,11,11,206,165,62,68,62,66,49,54,54,4,1,2,1,1,2,4,2,4,11,426,ザ・ウォール,BB,48,25,一致,スーパーアルマジロ,DR,38,22,一致,モグラフェイント,DR,61,30,一致,ロックウォールダム,BB,106,46,,ザ・ウォールスーパーアルマジロモグラフェイントロックウォールダム,ザ・ウォールスーパーアルマジロモグラフェイントロックウォールダム,ザ・ウォールスーパーアルマジロモグラフェイントロックウォールダム,ザ・ウォールスーパーアルマジロモグラフェイントロックウォールダム,BBDRDRBB,BBDRDRBB,BBDRDRBB,BBDRDRBB
4,影野　仁,じん,男,林,DF,43,33,7,14,11,11,12,13,8,195,140,58,53,75,59,53,62,60,1,1,1,1,1,1,1,1,1,27,447,コイルターン,BL,8,15,,うしろのしょうめん,BL,41,17,,かげぬい,BL,64,32,一致,かごめかごめ,BL,117,50,,コイルターンうしろのしょうめんかげぬいかごめかごめ,コイルターンうしろのしょうめんかげぬいかごめかごめ,コイルターンうしろのしょうめんかげぬいかごめかごめ,コイルターンうしろのしょうめんかげぬいかごめかごめ,BLBLBLBL,BLBLBLBL,BLBLBLBL,BLBLBLBL
5,栗松　鉄平,くりまつ,男,火,DF,39,33,8,8,9,7,7,14,9,184,161,54,55,53,56,59,56,65,4,4,4,4,4,4,4,4,4,17,415,モンキーターン,DR,15,17,,すいせいシュート,LS,45,36,,ドこんじょうバット,BS,80,42,一致,アルマジロサーカス,DR,83,38,一致,モンキーターンすいせいシュートドこんじょうバットアルマジロサーカス,モンキーターンすいせいシュートドこんじょうバットアルマジロサーカス,モンキーターンすいせいシュートドこんじょうバットアルマジロサーカス,モンキーターンすいせいシュートドこんじょうバットアルマジロサーカス,DRLSBSDR,DRLSBSDR,DRLSBSDR,DRLSBSDR
6,半田　真一,はんだ,男,風,MF,43,51,13,9,11,11,10,7,11,154,144,62,64,71,64,71,71,71,1,1,1,1,1,1,1,1,1,24,498,ジグザグスパーク,DR,47,23,一致,ローリングキック,NS,22,17,,シューティングスター,BB,84,40,,シュートフォース,SK,0,0,,ジグザグスパークローリングキックシューティングスターシュートフォース,ジグザグスパークローリングキックシューティングスターシュートフォース,ジグザグスパークローリングキックシューティングスターシュートフォース,ジグザグスパークローリングキックシューティングスターシュートフォース,DRNSBB0,DRNSBB0,DRNSBB0,DRNSBB0
7,少林寺　歩,しょうりん,男,林,MF,46,55,11,8,14,9,12,10,11,156,149,63,76,61,60,55,48,58,2,2,2,2,2,2,2,2,2,16,437,たつまきせんぷう,DR,17,17,,クルクルヘッド,NS,67,33,,クンフーアタック,BS,78,42,,ぶんしんディフェンス,BL,73,36,一致,たつまきせんぷうクルクルヘッドクンフーアタックぶんしんディフェンス,たつまきせんぷうクルクルヘッドクンフーアタックぶんしんディフェンス,たつまきせんぷうクルクルヘッドクンフーアタックぶんしんディフェンス,たつまきせんぷうクルクルヘッドクンフーアタックぶんしんディフェンス,DRNSBSBL,DRNSBSBL,DRNSBSBL,DRNSBSBL
8,宍戸　佐吉,ししど,男,火,MF,50,41,9,11,6,11,10,9,14,167,136,71,57,56,56,52,56,76,1,1,1,1,1,1,1,1,1,15,439,グレネードショット,NS,24,17,一致,ごりむちゅう,DR,49,23,,フェイクボール,BL,46,25,,イナズマおとし,BS,109,44,,グレネードショットごりむちゅうフェイクボールイナズマおとし,グレネードショットごりむちゅうフェイクボールイナズマおとし,グレネードショットごりむちゅうフェイクボールイナズマおとし,グレネードショットごりむちゅうフェイクボールイナズマおとし,NSDRBLBS,NSDRBLBS,NSDRBLBS,NSDRBLBS
9,松野　空介,マックス,男,風,FW,51,63,11,12,18,12,16,9,9,156,160,60,56,78,64,60,56,62,4,2,4,2,2,2,1,4,1,27,463,クイックドロウ,BL,8,15,,スピードフォース,SK,0,0,,イリュージョンボール,DR,47,23,,ダッシュストーム,DR,83,38,一致,クイックドロウスピードフォースイリュージョンボールダッシュストーム,クイックドロウスピードフォースイリュージョンボールダッシュストーム,クイックドロウスピードフォースイリュージョンボールダッシュストーム,クイックドロウスピードフォースイリュージョンボールダッシュストーム,BL0DRDR,BL0DRDR,BL0DRDR,BL0DRDR
10,豪炎寺　修也,ごうえんじ,男,火,FW,49,63,18,16,13,14,14,12,12,200,176,79,66,76,64,72,68,60,1,2,2,2,1,1,1,1,1,20,505,ファイアトルネード,NS,65,33,一致,ヒートタックル,DR,47,23,一致,イナズマおとし,BS,109,44,,ばくねつストーム,NS,122,62,一致,ファイアトルネードヒートタックルイナズマおとしばくねつストーム,ファイアトルネードヒートタックルイナズマおとしばくねつストーム,ファイアトルネードヒートタックルイナズマおとしばくねつストーム,ファイアトルネードヒートタックルイナズマおとしばくねつストーム,NSDRBSNS,NSDRBSNS,NSDRBSNS,NSDRBSNS
11,染岡　竜吾,そめおか,男,林,FW,51,60,17,15,10,12,9,14,8,195,144,71,60,59,61,60,64,70,1,4,2,1,4,4,2,1,2,16,461,ドラゴンクラッシュ,NS,65,33,一致,ドラゴントルネード,NS,87,51,,ワイバーンクラッシュ,NS,99,56,一致,ワイバーンブリザード,NS,114,62,,ドラゴンクラッシュドラゴントルネードワイバーンクラッシュワイバーンブリザード,ドラゴンクラッシュドラゴントルネードワイバーンクラッシュワイバーンブリザード,ドラゴンクラッシュドラゴントルネードワイバーンクラッシュワイバーンブリザード,ドラゴンクラッシュドラゴントルネードワイバーンクラッシュワイバーンブリザード,NSNSNSNS,NSNSNSNS,NSNSNSNS,NSNSNSNS
12,目金　欠流,メガネ,男,林,FW,31,21,7,8,7,11,7,5,7,147,168,56,51,68,57,56,53,60,5,5,5,5,5,5,5,5,5,14,415,やくびょうがみ,SK,0,0,,のろい,DR,15,17,一致,スーパースキャン（Ｄ）,DR,38,22,一致,ゴッドブレイク,NS,128,64,,やくびょうがみのろいスーパースキャン（Ｄ）ゴッドブレイク,やくびょうがみのろいスーパースキャン（Ｄ）ゴッドブレイク,やくびょうがみのろいスーパースキャン（Ｄ）ゴッドブレイク,やくびょうがみのろいスーパースキャン（Ｄ）ゴッドブレイク,SKDRDRNS,SKDRDRNS,SKDRDRNS,SKDRDRNS
13,雷門　夏未,なつみ,女,火,FW,33,21,8,5,5,4,6,4,7,140,197,79,51,45,52,44,49,62,4,2,4,4,4,4,4,4,4,27,409,おいろけＵＰ！,SK,0,0,,ファントムシュート,NS,43,24,,ローズスプラッシュ,NS,68,35,,ジ・アース,NS,136,70,,おいろけＵＰ！ファントムシュートローズスプラッシュジ・アース,おいろけＵＰ！ファントムシュートローズスプラッシュジ・アース,おいろけＵＰ！ファントムシュートローズスプラッシュジ・アース,おいろけＵＰ！ファントムシュートローズスプラッシュジ・アース,SKNSNSNS,SKNSNSNS,SKNSNSNS,SKNSNSNS
14,音無　春奈,おとなし,女,風,MF,19,29,5,6,8,7,6,6,7,138,149,48,54,69,45,69,51,70,4,4,4,4,4,4,2,4,4,26,432,ラッキー！,SK,0,0,,スーパースキャン（Ｄ）,DR,38,22,,スピニングカット,BB,58,30,一致,デスゾーン２,NS,124,64,,ラッキー！スーパースキャン（Ｄ）スピニングカットデスゾーン２,ラッキー！スーパースキャン（Ｄ）スピニングカットデスゾーン２,ラッキー！スーパースキャン（Ｄ）スピニングカットデスゾーン２,ラッキー！スーパースキャン（Ｄ）スピニングカットデスゾーン２,SKDRBBNS,SKDRBBNS,SKDRBBNS,SKDRBBNS
15,木野　秋,きの,女,山,GK,19,27,8,6,6,6,5,5,5,143,116,44,72,52,69,51,64,68,4,4,4,4,4,2,4,4,4,27,447,ネバーギブアップ,SK,0,0,,ねっけつパンチ,P1,8,17,,ゴッドハンド（山）,CA,48,21,一致,せいぎのてっけん,P2,125,57,,ネバーギブアップねっけつパンチゴッドハンド（山）せいぎのてっけん,ネバーギブアップねっけつパンチゴッドハンド（山）せいぎのてっけん,ネバーギブアップねっけつパンチゴッドハンド（山）せいぎのてっけん,ネバーギブアップねっけつパンチゴッドハンド（山）せいぎのてっけん,SKP1CAP2,SKP1CAP2,SKP1CAP2,SKP1CAP2
16,源田　幸次郎,げんおう,男,火,GK,55,96,15,11,13,16,13,14,14,200,153,72,75,69,72,55,74,60,1,3,1,2,1,3,1,1,2,32,509,クリティカル！,SK,0,0,,パワーシールド,P1,39,27,一致,フルパワーシールド,P1,61,34,一致,ビーストファング,CA,130,57,一致,クリティカル！パワーシールドフルパワーシールドビーストファング,クリティカル！パワーシールドフルパワーシールドビーストファング,クリティカル！パワーシールドフルパワーシールドビーストファング,クリティカル！パワーシールドフルパワーシールドビーストファング,SKP1P1CA,SKP1P1CA,SKP1P1CA,SKP1P1CA
17,大野　伝助,だいでん,男,山,DF,64,89,14,17,14,18,12,14,10,165,144,71,54,67,64,44,59,62,2,4,2,3,4,2,1,2,1,29,450,ジャイアントスピン,BB,14,17,,アースクェイク,BL,56,30,一致,リフレクトバスター,NS,94,40,一致,メガクェイク,BL,80,38,一致,ジャイアントスピンアースクェイクリフレクトバスターメガクェイク,ジャイアントスピンアースクェイクリフレクトバスターメガクェイク,ジャイアントスピンアースクェイクリフレクトバスターメガクェイク,ジャイアントスピンアースクェイクリフレクトバスターメガクェイク,BBBLNSBL,BBBLNSBL,BBBLNSBL,BBBLNSBL
